season,game_code,team_a_code,team_a_name,team_b_code,team_b_name,actual_quarter,final_score_a,final_score_b,total_plays,is_live
E2025,249,RED,Crvena Zvezda Meridianbet Belgrade,DUB,Dubai Basketball,4,95,92,576,False
E2025,250,ASV,LDLC ASVEL Villeurbanne,PAN,Panathinaikos AKTOR Athens,4,78,79,609,False
E2025,251,IST,Anadolu Efes Istanbul,PAM,Valencia Basket,4,107,90,573,False
E2025,252,RED,Crvena Zvezda Meridianbet Belgrade,HTA,Hapoel IBI Tel Aviv,4,87,75,521,False
E2025,253,DUB,Dubai Basketball,OLY,Olympiacos Piraeus,5,108,98,611,False
E2025,254,MIL,EA7 Emporio Armani Milan,BAS,Kosner Baskonia Vitoria-Gasteiz,4,109,89,546,False
E2025,255,BAR,FC Barcelona,ULK,Fenerbahce Beko Istanbul,4,78,82,557,False
E2025,256,MUN,FC Bayern Munich,PRS,Paris Basketball,4,81,75,661,False
E2025,257,TEL,Maccabi Rapyd Tel Aviv,PAR,Partizan Mozzart Bet Belgrade,4,95,93,516,False
E2025,258,PAN,Panathinaikos AKTOR Athens,MAD,Real Madrid,4,82,81,541,False
E2025,259,ZAL,Zalgiris Kaunas,MCO,AS Monaco,4,104,87,614,False
E2025,260,VIR,Virtus Bologna,ASV,LDLC ASVEL Villeurbanne,4,70,80,518,False
E2025,261,DUB,Dubai Basketball,MAD,Real Madrid,4,93,85,567,False
E2025,262,MUN,FC Bayern Munich,MCO,AS Monaco,4,91,82,490,False
E2025,263,HTA,Hapoel IBI Tel Aviv,PAM,Valencia Basket,5,99,104,645,False
E2025,264,PRS,Paris Basketball,ULK,Fenerbahce Beko Istanbul,4,90,92,672,False
E2025,265,PAR,Partizan Mozzart Bet Belgrade,PAN,Panathinaikos AKTOR Athens,4,78,62,521,False
E2025,266,IST,Anadolu Efes Istanbul,ZAL,Zalgiris Kaunas,4,92,82,514,False
E2025,267,BAS,Kosner Baskonia Vitoria-Gasteiz,BAR,FC Barcelona,4,91,97,572,False
E2025,268,RED,Crvena Zvezda Meridianbet Belgrade,TEL,Maccabi Rapyd Tel Aviv,4,82,83,552,False
E2025,269,ASV,LDLC ASVEL Villeurbanne,MIL,EA7 Emporio Armani Milan,4,76,77,489,False
E2025,270,OLY,Olympiacos Piraeus,VIR,Virtus Bologna,4,109,77,509,False
E2025,271,IST,Anadolu Efes Istanbul,VIR,Virtus Bologna,4,91,60,514,False
